URL,post_age_weeks,views,likes,tags,no_of_skills,software_used,csv_file
https://www.artstation.com/artwork/YKx16b,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/ZeXAQX,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/QnkkGd,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/Wmxd8v,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/lRXGPz,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/o28eqm,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/Ar5AvX,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/B3QkgA,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/EaKarN,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/8wEmD6,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/r9dNz6,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/xYxv2O,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/Omd3gg,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/r9522e,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/d0RVd3,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/Pe5KN4,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/9N2BGW,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/nELVno,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/qQKDga,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/zD4R1D,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/b53z2n,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/qQRNRn,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/LebXR5,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/8wEo1Q,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/3qPPbE,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/OmRGww,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/KOdKxR,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/G8VonW,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/LevZe5,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/Qnwe34,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/nEbO61,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/Pekgwn,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/nEbl39,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/vJ3wYv,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/aGr6Lz,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
